name_part1,name_part2,name_fluid1,material_group,name_mold_mat,name_disp_1,wf_disp_1,name_bind1,wf_bind_1,temp_cold,cooling_rate,time_sub,time_sinter_1,temp_sinter_1,vf_total,porosity
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.15,0.8
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.15,0.82
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.15,0.78
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.15,0.79
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.15,0.79
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.15,0.79
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.15,0.79
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.15,0.77
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.15,0.79
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.15,0.79
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.25,0.65
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.25,0.63
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.25,0.63
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.25,0.635
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.25,0.635
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.25,0.66
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.25,0.66
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.25,0.65
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.25,0.65
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.35,0.6
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.35,0.56
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.35,0.55
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.35,0.56
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.35,0.54
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.35,0.53
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.35,0.53
Al2O3,,water,Ceramic,PTFE,Darvan C,0.005,poly-(2-ethyl-2-oxazoline,0.05,,0.0,96.0,4.0,723.0,0.35,0.52
Al2O3,,camphene,Ceramic,,Hypermer KD 4,0.03,,,253.0,,,12.0,316.0,0.15,0.77
Al2O3,,camphene,Ceramic,,Hypermer KD 4,0.03,,,253.0,,,12.0,316.0,0.2,0.72
Al2O3,,camphene,Ceramic,,Hypermer KD 4,0.03,,,253.0,,,12.0,316.0,0.25,0.67
Al2O3,,camphene,Ceramic,polyurethane,Perfad9100,0.02,,,291.0,0.0,0.0,4.0,1873.0,0.454,0.1
Al2O3,,camphene,Ceramic,polyurethane,Perfad9100,0.02,,,291.0,0.0,0.0,4.0,1873.0,0.43,0.2
Al2O3,,camphene,Ceramic,polyurethane,Perfad9100,0.02,,,291.0,0.0,0.0,4.0,1873.0,0.508,0.4
Al2O3,,camphene,Ceramic,polyurethane,Perfad9100,0.02,,,291.0,0.0,0.0,4.0,1873.0,0.508,0.52
Al2O3,,camphene,Ceramic,polyurethane,Perfad9100,0.02,,,291.0,0.0,0.0,4.0,1873.0,0.2,0.4
Al2O3,,camphene,Ceramic,polyurethane,Perfad9100,0.02,,,291.0,0.0,0.0,4.0,1873.0,0.3,0.22
Al2O3,,camphene,Ceramic,polyurethane,Perfad9100,0.02,,,291.0,0.0,0.0,4.0,1873.0,0.4,0.15
Al2O3,,naphthalene,Ceramic,polyurethane,Perfad9100,0.03,,,291.0,0.0,60.0,4.0,1873.0,0.2,0.6
Al2O3,,naphthalene,Ceramic,polyurethane,Perfad9100,0.03,,,291.0,0.0,60.0,4.0,1873.0,0.3,0.4
Al2O3,,naphthalene,Ceramic,polyurethane,Perfad9100,0.03,,,291.0,0.0,60.0,4.0,1873.0,0.4,0.22
Al2O3,,naphthalene,Ceramic,polyurethane,Perfad9100,0.03,,,291.0,0.0,60.0,4.0,1873.0,0.48,0.12
Al2O3,,naphthalene,Ceramic,polyurethane,Perfad9100,0.03,,,291.0,0.0,60.0,4.0,1873.0,0.2,0.55
Al2O3,,naphthalene,Ceramic,polyurethane,Perfad9100,0.03,,,291.0,0.0,60.0,4.0,1873.0,0.3,0.22
Al2O3,,naphthalene,Ceramic,polyurethane,Perfad9100,0.03,,,291.0,0.0,60.0,4.0,1873.0,0.4,0.01
Al2O3,,naphthalene,Ceramic,polyurethane,Perfad9100,0.03,,,291.0,0.0,60.0,4.0,1873.0,0.48,0.01
Al2O3,,naphthalene,Ceramic,polyurethane,Perfad9100,0.03,,,291.0,0.0,60.0,4.0,1873.0,0.2,0.6
Al2O3,,naphthalene,Ceramic,polyurethane,Perfad9100,0.03,,,291.0,0.0,60.0,4.0,1873.0,0.3,0.35
Al2O3,,naphthalene,Ceramic,polyurethane,Perfad9100,0.03,,,291.0,0.0,60.0,4.0,1873.0,0.4,0.13
Al2O3,,naphthalene,Ceramic,polyurethane,Perfad9100,0.03,,,291.0,0.0,60.0,4.0,1873.0,0.48,0.1
Al2O3,,camphene,Ceramic,polyurethane,Perfad9100,0.02,,,291.0,0.0,24.0,4.0,1873.0,0.495,0.5
Al2O3,,camphene,Ceramic,polyurethane,Perfad9100,0.02,,,291.0,0.0,24.0,4.0,1873.0,0.3,0.41
Al2O3,,camphene,Ceramic,polyurethane,Perfad9100,0.02,,,291.0,0.0,24.0,4.0,1873.0,0.4,0.22
Al2O3,,camphene,Ceramic,polyurethane,Perfad9100,0.02,,,291.0,0.0,24.0,4.0,1873.0,0.495,0.1
Al2O3,,water,Ceramic,aluminum,Dolapix,0.0074,starch,0.02,123.0,0.0,14.0,2.0,1873.0,0.42,0.774
Al2O3,Mullite,water,Ceramic,aluminum,polyacrylic acid,,,,,0.0,0.0,5.0,1873.0,0.425,0.655
Al2O3,Mullite,water,Ceramic,aluminum,polyacrylic acid,,,,,0.0,0.0,5.0,1873.0,0.45,0.66
Al2O3,Mullite,water,Ceramic,aluminum,polyacrylic acid,,,,,0.0,0.0,5.0,1873.0,0.475,0.67
Al2O3,Mullite,water,Ceramic,aluminum,polyacrylic acid,,,,,0.0,0.0,5.0,1873.0,0.505,0.74
Al2O3,,water,Ceramic,silicone,Kalium polyacrylate Lopon 895,0.02,PVA,,,0.0,,0.5,873.0,0.2,0.6435
Al2O3,,water,Ceramic,silicone,Kalium polyacrylate Lopon 895,0.02,PVA,,,0.0,,0.5,873.0,0.2,0.7102
Al2O3,,water,Ceramic,silicone,Darvan C,0.012,Duramax B-1001,0.02,238.0,0.0,,5.0,1923.0,0.575,0.17
Al2O3,,water,Ceramic,silicone,Darvan C,0.012,Duramax B-1001,0.02,238.0,0.0,,5.0,1923.0,0.575,0.06
Al2O3,,water,Ceramic,,NH4PAA,0.02,PVA,0.05,253.0,0.0,6.0,3.0,1623.0,0.4,0.537
Al2O3,,water,Ceramic,,NH4PAA,0.005,PVA,0.05,253.0,0.0,6.0,3.0,1623.0,0.4,0.545
Al2O3,,water,Ceramic,silicone,Darvan C,0.012,Duramax B-1001,0.02,238.0,0.0,,5.0,1923.0,0.6,0.13
Al2O3,,water,Ceramic,silicone,Darvan C,0.012,Duramax B-1001,0.02,238.0,0.0,,5.0,1923.0,0.55,0.14
Al2O3,,water,Ceramic,PDMS,HydroDisperser,0.05,PVA,0.01,83.0,0.0,24.0,3.0,1173.0,0.3,0.15
Al2O3,,water,Ceramic,silicone,Darvan C,0.012,Duramax B-1001,0.02,238.0,0.0,,5.0,1923.0,0.525,0.2
Al2O3,,water,Ceramic,silicone,Darvan C,0.012,Duramax B-1001,0.02,238.0,0.0,,5.0,1923.0,0.525,0.22
Al2O3,,camphene,Ceramic,,Perfad9100,,,,,0.0,,4.0,1873.0,0.433,0.22
Al2O3,,water,Ceramic,silicone,Darvan C,0.012,Duramax B-1001,0.02,238.0,0.0,,5.0,1923.0,0.5,0.24
Al2O3,,water,Ceramic,silicone,Darvan C,0.012,Duramax B-1001,0.02,238.0,0.0,,5.0,1923.0,0.475,0.28
Al2O3,,water,Ceramic,silicone,Darvan C,0.012,Duramax B-1001,0.02,238.0,0.0,,5.0,1923.0,0.45,0.28
Al2O3,,Glycerine Ether,Ceramic,,,,polyethylene-imine,0.07,253.0,0.0,,3.0,1773.0,0.4,0.31
Al2O3,,water,Ceramic,silicone,Darvan C,0.012,Duramax B-1001,0.02,238.0,0.0,,5.0,1923.0,0.625,0.32
Al2O3,,water,Ceramic,fluorocarbon,Alon A-6114,,,,,0.0,24.0,,1873.0,0.45,0.32
Al2O3,,water,Ceramic,fluorocarbon,Alon A-6114,,,,,0.0,24.0,,1773.0,0.45,0.35
Al2O3,,Glycerine Ether,Ceramic,,,,polyethylene-imine,0.15,253.0,0.0,,3.0,1773.0,0.33,0.37
Al2O3,,Glycerine Ether,Ceramic,,,,polyethylene-imine,0.05,253.0,0.0,,3.0,1773.0,0.4,0.41
Al2O3,,camphene,Ceramic,,Perfad9100,,,,,0.0,,4.0,1873.0,0.334,0.41
Al2O3,,water,Ceramic,,Duramax D3005,0.008,,,77.0,0.0,24.0,2.0,1873.0,0.35,0.43
Al2O3,,water,Ceramic,,Duramax D3005,0.008,,,253.0,0.0,24.0,2.0,1873.0,0.35,0.43
Al2O3,,Glycerine Ether,Ceramic,,,,polyethylene-imine,0.07,253.0,0.0,,3.0,1773.0,0.33,0.45
Al2O3,,camphene,Ceramic,,Perfad9100,,,,,0.0,,4.0,1873.0,0.226,0.51
Al2O3,,water,Ceramic,polyvinyl chloride,A6114,,,,,0.0,,2.0,2073.0,0.2,0.553
Al2O3,,water,Ceramic,polyvinyl chloride,A6114,,,,,0.0,,2.0,2073.0,0.2,0.573
Al2O3,,Glycerine Ether,Ceramic,,,,polyethylene-imine,0.07,253.0,0.0,,3.0,1773.0,0.2,0.64
Al2O3,,Glycerine Ether,Ceramic,,,,polyethylene-imine,0.05,77.0,0.0,,3.0,1823.0,0.2,0.69
Al2O3,,water,Ceramic,polyvinyl chloride,A6114,,,,,0.0,,2.0,2073.0,0.1,0.697
Al2O3,,Glycerine Ether,Ceramic,,,,polyethylene-imine,0.05,253.0,0.0,,3.0,1873.0,0.2,0.7
Al2O3,,water,Ceramic,polyvinyl chloride,A6114,,,,,0.0,,2.0,2073.0,0.1,0.717
Al2O3,,camphene,Ceramic,,Hypermer KD 4,0.03,PS,0.1,270.0,0.0,24.0,3.0,1723.0,0.1,0.83
Al2O3,,water,Ceramic,"plastic, noi",,,,,233.0,0.0,,2.0,1573.0,0.1,0.86
Al2O3,,water,Ceramic,"plastic, noi",AFP,,,,233.0,0.0,,2.0,1573.0,0.1,0.86
Al2O3,,water,Ceramic,"plastic, noi",AFP,,,,233.0,0.0,,2.0,1573.0,0.1,0.86
Al2O3,,camphene,Ceramic,,Perfad9100,,,,,0.0,,4.0,1873.0,0.523,0.98
Al2O3,,water,Ceramic,polyethylene,SND 6800,0.01,PVA,0.005,,1.0,,2.0,1873.0,0.3,0.771
Al2O3,,water,Ceramic,polyethylene,SND 6800,0.01,PVA,0.005,,1.0,,2.0,1873.0,0.3,0.779
Al2O3,,water,Ceramic,polyethylene,SND 6800,0.01,PVA,0.005,,1.0,,2.0,1873.0,0.3,0.789
Al2O3,,water,Ceramic,,NH4PAA,0.0015,PVA,0.05,253.0,0.0,6.0,3.0,1623.0,0.4,0.539
Al2O3,,water,Ceramic,"plastic, noi",Duramax D3005,0.008,,,,1.0,24.0,2.0,1823.0,0.35,0.354
Al2O3,,water,Ceramic,polymer,Darvan C,0.02,PVA,,203.0,0.0,,2.0,823.0,0.25,0.42
Al2O3,,water,Ceramic,,SHMP,0.003,PVA,0.03,218.0,0.0,36.0,2.0,873.0,0.235,0.664
Al2O3,,water,Ceramic,,SHMP,0.005,PVA,0.03,218.0,0.0,36.0,2.0,873.0,0.235,0.683
Al2O3,,water,Ceramic,,SHMP,0.001,PVA,0.03,218.0,0.0,36.0,2.0,873.0,0.235,0.67
Al2O3,,water,Ceramic,"plastic, noi",AFP,,,,253.0,0.0,,2.0,1573.0,0.1,0.86
Al2O3,,water,Ceramic,polymer,Darvan C,0.02,PVA,,203.0,0.0,,2.0,823.0,0.25,0.62
Al2O3,,water,Ceramic,polymer,Darvan C,0.02,PVA,,203.0,0.0,,2.0,823.0,0.25,0.78
Al2O3,,water,Ceramic,fluorocarbon,Alon A-6114,,,,223.0,0.0,24.0,,1823.0,0.4,0.458
Al2O3,,water,Ceramic,fluorocarbon,Alon A-6114,,,,223.0,0.0,24.0,,1823.0,0.4,0.36
Al2O3,,water,Ceramic,fluorocarbon,Alon A-6114,,,,,0.0,24.0,,1773.0,0.4,0.379
Al2O3,,water,Ceramic,fluorocarbon,Alon A-6114,,,,,0.0,24.0,,1673.0,0.45,0.4
Al2O3,,water,Ceramic,polymer,Darvan C,0.02,PVA,,203.0,0.0,,2.0,823.0,0.25,0.68
Al2O3,,water,Ceramic,fluorocarbon,Alon A-6114,,,,,0.0,24.0,,1823.0,0.4,0.36
Al2O3,,water,Ceramic,fluorocarbon,Alon A-6114,,,,,0.0,24.0,,1673.0,0.4,0.458
Al2O3,,water,Ceramic,polymer,Darvan C,0.02,,,203.0,0.0,,2.0,823.0,0.25,0.7
Al2O3,,water,Ceramic,,Darvan 811,0.03,,,238.0,0.0,24.0,5.0,1873.0,0.23,0.639
Al2O3,,water,Ceramic,,Darvan 811,0.03,,,228.0,0.0,24.0,5.0,1873.0,0.23,0.639
Al2O3,,water,Ceramic,fluorocarbon,Alon A-6114,,,,223.0,0.0,24.0,,1673.0,0.333,0.494
Al2O3,,water,Ceramic,fluorocarbon,Alon A-6114,,,,223.0,0.0,24.0,,1673.0,0.333,0.465
Al2O3,,water,Ceramic,fluorocarbon,Alon A-6114,,,,,0.0,24.0,,1673.0,0.333,0.494
Al2O3,,water,Ceramic,fluorocarbon,Alon A-6114,,,,,0.0,24.0,,1823.0,0.333,0.465
Al2O3,,camphene,Ceramic,,Hypermer KD 4,0.03,,,268.0,0.0,24.0,5.0,1873.0,0.22,0.609
Al2O3,,water,Ceramic,,Darvan 811,0.03,,,253.0,0.0,24.0,5.0,1873.0,0.23,0.639
Al2O3,,water,Ceramic,,Darvan 811,0.03,,,243.0,0.0,24.0,5.0,1873.0,0.23,0.639
Al2O3,,water,Ceramic,,Darvan 811,0.03,,,253.0,0.0,24.0,5.0,1873.0,0.23,0.639
Al2O3,,water,Ceramic,fluorocarbon,Alon A-6114,,,,,0.0,24.0,,1773.0,0.28,0.558
Al2O3,,water,Ceramic,,Darvan 811,0.03,,,258.0,0.0,24.0,5.0,1873.0,0.23,0.639
Al2O3,,camphene,Ceramic,,Hypermer KD 4,0.03,,,278.0,0.0,24.0,5.0,1873.0,0.22,0.609
Al2O3,,water,Metal/Ceramic,Teflon,Dolapix CE 64,,PEG,,,1.0,48.0,1.0,1773.0,0.2,0.67
Al2O3,,water,Ceramic,,Darvan 811,0.03,,,253.0,0.0,24.0,5.0,1873.0,0.23,0.639
Al2O3,,camphene,Ceramic,,Hypermer KD 4,0.03,,,288.0,0.0,24.0,5.0,1873.0,0.22,0.609
Al2O3,,water,Ceramic,"plastic, noi",AFP,,,,253.0,0.0,,2.0,1573.0,0.1,0.86
Al2O3,,camphene,Ceramic,,Hypermer KD 4,0.03,,,288.0,0.0,24.0,5.0,1873.0,0.22,0.609
Al2O3,,water,Ceramic,"plastic, noi",Duramax D3005,0.008,PVA,0.02,,1.0,24.0,2.0,1823.0,0.35,0.486
Al2O3,,water,Ceramic,fluorocarbon,Alon A-6114,,,,,0.0,24.0,,1673.0,0.28,0.613
Al2O3,,water,Ceramic,fluorocarbon,Alon A-6114,,,,,0.0,24.0,,1873.0,0.333,0.458
Al2O3,,camphene,Ceramic,,Hypermer KD 4,0.03,,,288.0,0.0,24.0,5.0,1873.0,0.22,0.609
Al2O3,,water,Ceramic,,Darvan 811,0.03,,,263.0,0.0,24.0,5.0,1873.0,0.23,0.639
Al2O3,,water,Ceramic,"plastic, noi",Duramax D3005,0.008,PVA,0.04,,1.0,24.0,2.0,1823.0,0.35,0.344
Al2O3,,water,Ceramic,fluorocarbon,Alon A-6114,,,,,0.0,24.0,,1873.0,0.28,0.528
Al2O3,,camphene,Ceramic,,Hypermer KD 4,0.03,,,298.0,0.0,24.0,5.0,1873.0,0.22,0.609
Al2O3,,Glycerine Ether,Ceramic,,,,polyethylene-imine,0.03,253.0,0.0,,3.0,1773.0,0.33,0.49
Al2O3,,Glycerine Ether,Ceramic,,,,polyethylene-imine,0.05,253.0,0.0,,3.0,1773.0,0.2,0.71
Al2O3,,Glycerine Ether,Ceramic,,,,polyethylene-imine,0.1,253.0,0.0,,3.0,1773.0,0.33,0.44
Al2O3,,water,Ceramic,"plastic, noi",,,,,253.0,0.0,,2.0,1573.0,0.1,0.86
Al2O3,TiO2,camphene,Ceramic,PTFE,,,,,77.0,0.0,72.0,2.0,1773.0,0.25,0.15
Al2O3,,water,Ceramic,,Duramax D3005,0.008,,,77.0,0.0,24.0,2.0,1873.0,0.5,0.23
Al2O3,,water,Ceramic,silicone,Darvan C,0.012,Duramax B-1001,0.02,238.0,0.0,,5.0,1923.0,0.5,0.25
Al2O3,TiO2,camphene,Ceramic,PTFE,,,,,77.0,0.0,72.0,2.0,1773.0,0.25,0.27
Al2O3,,water,Ceramic,silicone,Darvan C,0.012,Duramax B-1001,0.02,238.0,0.0,,5.0,1923.0,0.45,0.32
Al2O3,,water,Ceramic,"plastic, noi",Duramax D3005,0.008,PVA,0.04,,1.0,24.0,2.0,1823.0,0.35,0.368
Al2O3,TiO2,camphene,Ceramic,PTFE,,,,,77.0,0.0,72.0,2.0,1773.0,0.25,0.37
Al2O3,,water,Ceramic,,Duramax D3005,0.008,,,77.0,0.0,24.0,2.0,1873.0,0.35,0.41
Al2O3,,water,Ceramic,"plastic, noi",Duramax D3005,0.008,PVA,0.02,,1.0,24.0,2.0,1823.0,0.35,0.426
Al2O3,,water,Ceramic,,Duramax D3005,0.008,,,77.0,0.0,24.0,2.0,1873.0,0.35,0.46
Al2O3,TiO2,camphene,Ceramic,PTFE,,,,,77.0,0.0,72.0,2.0,1773.0,0.25,0.47
Al2O3,,water,Ceramic,,Duramax D3005,0.008,,,77.0,0.0,24.0,2.0,1873.0,0.2,0.5
Al2O3,TiO2,camphene,Ceramic,PTFE,,,,,77.0,0.0,72.0,2.0,1773.0,0.25,0.53
Al2O3,,camphene,Ceramic,PTFE,,,,,77.0,0.0,72.0,1.0,1773.0,0.25,0.58
Al2O3,,camphene,Ceramic,polyethylene,Hypermer KD 4,0.03,,,293.0,0.0,,,1673.0,0.2,0.66
Al2O3,,camphene,Ceramic,polyethylene,Hypermer KD 4,0.03,,,293.0,0.0,,,1673.0,0.15,0.73
Al2O3,,camphene,Ceramic,polyethylene,Hypermer KD 4,0.03,,,293.0,0.0,,,1673.0,0.1,0.8
Al2O3,,camphene,Ceramic,polyethylene,Hypermer KD 4,0.03,,,293.0,0.0,,,1673.0,0.05,0.9
Al2O3,,water,Ceramic,silicone,Darvan C,0.012,Duramax B-1001,0.02,238.0,0.0,,5.0,1923.0,0.55,0.2
Al2O3,,water,Ceramic,silicone,Darvan C,0.012,Duramax B-1001,0.02,238.0,0.0,,5.0,1923.0,0.6,0.02
